model,researcher_name,ground_truth_groups,top_1_groups,top_1_scores,top_3_groups,top_3_scores,top_5_groups,top_5_scores
lda,Fajie Yuan,Artificial Intelligence | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Robotics,0.282122,Robotics | Machine Learning | Artificial Intelligence,0.282122 | 0.268904 | 0.266903,Robotics | Machine Learning | Artificial Intelligence | Computer Vision | Data Mining,0.282122 | 0.268904 | 0.266903 | 0.253296 | 0.248739
lda,Falk Scholer,Human-Computer Interaction | Natural Language Processing | The Web & Information Retrieval,The Web & Information Retrieval,0.457930,The Web & Information Retrieval | Natural Language Processing | Data Mining,0.457930 | 0.405831 | 0.319549,The Web & Information Retrieval | Natural Language Processing | Data Mining | Artificial Intelligence | Databases,0.457930 | 0.405831 | 0.319549 | 0.242388 | 0.223861
lda,Fanny Chevalier,Computer Graphics | Human-Computer Interaction | Visualization,Machine Learning,0.102312,Machine Learning | Robotics | Visualization,0.102312 | 0.100385 | 0.094329,Machine Learning | Robotics | Visualization | Artificial Intelligence | Natural Language Processing,0.102312 | 0.100385 | 0.094329 | 0.091702 | 0.081450
lda,Fei Chiang,Databases,Databases,0.622879,Databases | Software Engineering | Data Mining,0.622879 | 0.376735 | 0.368599,Databases | Software Engineering | Data Mining | The Web & Information Retrieval | Visualization,0.622879 | 0.376735 | 0.368599 | 0.365935 | 0.361101
lda,Feng Tian 0001,Artificial Intelligence | Human-Computer Interaction,Software Engineering,0.627051,Software Engineering | Human-Computer Interaction | Visualization,0.627051 | 0.603051 | 0.481203,Software Engineering | Human-Computer Interaction | Visualization | The Web & Information Retrieval | Natural Language Processing,0.627051 | 0.603051 | 0.481203 | 0.368082 | 0.333600
lda,Flora D. Salim,Artificial Intelligence | Data Mining | Human-Computer Interaction | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Software Engineering,0.658523,Software Engineering | Human-Computer Interaction | Visualization,0.658523 | 0.643209 | 0.513337,Software Engineering | Human-Computer Interaction | Visualization | Robotics | Natural Language Processing,0.658523 | 0.643209 | 0.513337 | 0.424707 | 0.422172
lda,Florian Shkurti,Artificial Intelligence | Computer Vision | Robotics,Computer Graphics,0.755377,Computer Graphics | Robotics | Computer Vision,0.755377 | 0.605328 | 0.529734,Computer Graphics | Robotics | Computer Vision | Human-Computer Interaction | Visualization,0.755377 | 0.605328 | 0.529734 | 0.397188 | 0.380019
lda,Francis Engelmann,Computer Graphics | Computer Vision | Machine Learning | Robotics,Computer Graphics,0.838605,Computer Graphics | Robotics | Computer Vision,0.838605 | 0.654323 | 0.607238,Computer Graphics | Robotics | Computer Vision | Visualization | Human-Computer Interaction,0.838605 | 0.654323 | 0.607238 | 0.485725 | 0.475590
lda,Frederic Sala,Artificial Intelligence | Machine Learning | Natural Language Processing,Natural Language Processing,0.580136,Natural Language Processing | Software Engineering | Machine Learning,0.580136 | 0.496394 | 0.486915,Natural Language Processing | Software Engineering | Machine Learning | Artificial Intelligence | Data Mining,0.580136 | 0.496394 | 0.486915 | 0.478450 | 0.474451
lda,Fuli Feng,Artificial Intelligence | Data Mining | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Software Engineering,0.798898,Software Engineering | Human-Computer Interaction | Visualization,0.798898 | 0.713561 | 0.655468,Software Engineering | Human-Computer Interaction | Visualization | The Web & Information Retrieval | Data Mining,0.798898 | 0.713561 | 0.655468 | 0.584681 | 0.568567
lda,Ganesh Ramakrishnan,Artificial Intelligence | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Machine Learning,0.540790,Machine Learning | Artificial Intelligence | Data Mining,0.540790 | 0.532307 | 0.521798,Machine Learning | Artificial Intelligence | Data Mining | Natural Language Processing | Computer Vision,0.540790 | 0.532307 | 0.521798 | 0.493417 | 0.491014
lda,Gang Chen 0001,Artificial Intelligence | Computer Vision | Data Mining | Databases | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Databases,0.691675,Databases | Visualization | Software Engineering,0.691675 | 0.601854 | 0.594568,Databases | Visualization | Software Engineering | Human-Computer Interaction | The Web & Information Retrieval,0.691675 | 0.601854 | 0.594568 | 0.576897 | 0.548259
lda,Gary K. Fedder,Robotics,Human-Computer Interaction,0.706442,Human-Computer Interaction | Computer Graphics | Visualization,0.706442 | 0.678967 | 0.640360,Human-Computer Interaction | Computer Graphics | Visualization | Robotics | Computer Vision,0.706442 | 0.678967 | 0.640360 | 0.592492 | 0.538722
lda,Gaurav S. Sukhatme,Artificial Intelligence | Machine Learning | Robotics,Robotics,0.729941,Robotics | Machine Learning | Artificial Intelligence,0.729941 | 0.554238 | 0.544229,Robotics | Machine Learning | Artificial Intelligence | Computer Vision | Human-Computer Interaction,0.729941 | 0.554238 | 0.544229 | 0.500528 | 0.487414
lda,Gedas Bertasius,Computer Vision | Machine Learning | Natural Language Processing | Robotics,Computer Vision,0.620170,Computer Vision | Computer Graphics | Robotics,0.620170 | 0.559423 | 0.549134,Computer Vision | Computer Graphics | Robotics | Machine Learning | Artificial Intelligence,0.620170 | 0.559423 | 0.549134 | 0.546117 | 0.543606
lda,Georgia Chalvatzaki,Machine Learning | Robotics,Robotics,0.591091,Robotics | Machine Learning | Artificial Intelligence,0.591091 | 0.449982 | 0.422694,Robotics | Machine Learning | Artificial Intelligence | Computer Vision | Computer Graphics,0.591091 | 0.449982 | 0.422694 | 0.396044 | 0.374246
lda,Gerhard Neumann,Artificial Intelligence | Computer Vision | Machine Learning | Robotics,Robotics,0.702922,Robotics | Machine Learning | Artificial Intelligence,0.702922 | 0.611421 | 0.599263,Robotics | Machine Learning | Artificial Intelligence | Computer Vision | Data Mining,0.702922 | 0.611421 | 0.599263 | 0.559698 | 0.507822
lda,Giorgos Tolias,Computer Vision | Machine Learning,Computer Vision,0.672309,Computer Vision | Artificial Intelligence | Robotics,0.672309 | 0.615667 | 0.599100,Computer Vision | Artificial Intelligence | Robotics | Natural Language Processing | Machine Learning,0.672309 | 0.615667 | 0.599100 | 0.599087 | 0.590898
lda,Glen Berseth,Computer Graphics | Machine Learning | Robotics,Machine Learning,0.405028,Machine Learning | Robotics | Artificial Intelligence,0.405028 | 0.384025 | 0.380103,Machine Learning | Robotics | Artificial Intelligence | Visualization | Computer Vision,0.405028 | 0.384025 | 0.380103 | 0.369152 | 0.348913
lda,Gongshen Liu,Artificial Intelligence | Machine Learning | Natural Language Processing,Databases,0.618568,Databases | Data Mining | The Web & Information Retrieval,0.618568 | 0.463913 | 0.446877,Databases | Data Mining | The Web & Information Retrieval | Artificial Intelligence | Natural Language Processing,0.618568 | 0.463913 | 0.446877 | 0.356851 | 0.343406
lda,Gramoz Goranci,Data Mining | Machine Learning,Databases,0.628939,Databases | Data Mining | The Web & Information Retrieval,0.628939 | 0.395093 | 0.377145,Databases | Data Mining | The Web & Information Retrieval | Artificial Intelligence | Software Engineering,0.628939 | 0.395093 | 0.377145 | 0.259181 | 0.250122
lda,Greg Ver Steeg,Artificial Intelligence | Computer Vision | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Machine Learning,0.426645,Machine Learning | Artificial Intelligence | Data Mining,0.426645 | 0.403053 | 0.394112,Machine Learning | Artificial Intelligence | Data Mining | The Web & Information Retrieval | Computer Vision,0.426645 | 0.403053 | 0.394112 | 0.343386 | 0.341238
lda,Gregory W. Wornell,Artificial Intelligence | Computer Vision | Machine Learning,Computer Vision,0.610567,Computer Vision | Computer Graphics | Machine Learning,0.610567 | 0.602993 | 0.595417,Computer Vision | Computer Graphics | Machine Learning | Robotics | Artificial Intelligence,0.610567 | 0.602993 | 0.595417 | 0.573555 | 0.568156
lda,Guanbin Li,Artificial Intelligence | Computer Graphics | Computer Vision | Machine Learning | Robotics,Computer Graphics,0.936362,Computer Graphics | Computer Vision | Robotics,0.936362 | 0.868444 | 0.797261,Computer Graphics | Computer Vision | Robotics | Machine Learning | Artificial Intelligence,0.936362 | 0.868444 | 0.797261 | 0.730162 | 0.723581
lda,Guang Chen 0001,Artificial Intelligence | Computer Vision | Machine Learning | Robotics,Computer Graphics,0.775589,Computer Graphics | Computer Vision | Robotics,0.775589 | 0.532028 | 0.508325,Computer Graphics | Computer Vision | Robotics | Visualization | Machine Learning,0.775589 | 0.532028 | 0.508325 | 0.396098 | 0.380132
lda,Guanghui Liu 0001,Artificial Intelligence | Computer Vision,Computer Graphics,0.800572,Computer Graphics | Computer Vision | Robotics,0.800572 | 0.538556 | 0.501286,Computer Graphics | Computer Vision | Robotics | Machine Learning | Visualization,0.800572 | 0.538556 | 0.501286 | 0.379895 | 0.372493
lda,Guansong Pang,Artificial Intelligence | Computer Vision | Data Mining | Machine Learning | The Web & Information Retrieval,Computer Vision,0.578109,Computer Vision | Artificial Intelligence | Machine Learning,0.578109 | 0.560646 | 0.547884,Computer Vision | Artificial Intelligence | Machine Learning | Data Mining | The Web & Information Retrieval,0.578109 | 0.560646 | 0.547884 | 0.536052 | 0.479325
lda,Guanxiong Sun,Artificial Intelligence | Computer Vision | Machine Learning,Computer Graphics,0.728504,Computer Graphics | Computer Vision | Robotics,0.728504 | 0.695685 | 0.587570,Computer Graphics | Computer Vision | Robotics | Visualization | Artificial Intelligence,0.728504 | 0.695685 | 0.587570 | 0.569220 | 0.562306
lda,Gui-Song Xia,Artificial Intelligence | Computer Vision | Machine Learning | Natural Language Processing | Robotics,Computer Graphics,0.794030,Computer Graphics | Computer Vision | Robotics,0.794030 | 0.718092 | 0.587639,Computer Graphics | Computer Vision | Robotics | Machine Learning | Artificial Intelligence,0.794030 | 0.718092 | 0.587639 | 0.581964 | 0.567238
lda,Günther Specht,Databases,Databases,0.748455,Databases | Data Mining | The Web & Information Retrieval,0.748455 | 0.453121 | 0.434975,Databases | Data Mining | The Web & Information Retrieval | Software Engineering | Artificial Intelligence,0.748455 | 0.453121 | 0.434975 | 0.354258 | 0.313394
lda,H. Jin Kim,Computer Vision | Machine Learning | Robotics,Robotics,0.770435,Robotics | Computer Graphics | Computer Vision,0.770435 | 0.517912 | 0.497343,Robotics | Computer Graphics | Computer Vision | Machine Learning | Artificial Intelligence,0.770435 | 0.517912 | 0.497343 | 0.483161 | 0.470136
lda,H. Sebastian Seung,Artificial Intelligence | Machine Learning | Robotics,Robotics,0.654045,Robotics | Machine Learning | Artificial Intelligence,0.654045 | 0.383865 | 0.382918,Robotics | Machine Learning | Artificial Intelligence | Computer Vision | Human-Computer Interaction,0.654045 | 0.383865 | 0.382918 | 0.370678 | 0.363541
lda,Hadar Averbuch-Elor,Computer Graphics | Computer Vision | Machine Learning | Natural Language Processing,Computer Graphics,0.854780,Computer Graphics | Computer Vision | Robotics,0.854780 | 0.600019 | 0.549073,Computer Graphics | Computer Vision | Robotics | Visualization | Machine Learning,0.854780 | 0.600019 | 0.549073 | 0.464535 | 0.445790
lda,Hadi Daneshmand,Machine Learning,Machine Learning,0.383284,Machine Learning | Artificial Intelligence | Data Mining,0.383284 | 0.329698 | 0.282839,Machine Learning | Artificial Intelligence | Data Mining | Databases | Computer Vision,0.383284 | 0.329698 | 0.282839 | 0.249438 | 0.245799
lda,Haipeng Luo,Computer Vision | Machine Learning,Machine Learning,0.381088,Machine Learning | Artificial Intelligence | Data Mining,0.381088 | 0.342133 | 0.276122,Machine Learning | Artificial Intelligence | Data Mining | The Web & Information Retrieval | Natural Language Processing,0.381088 | 0.342133 | 0.276122 | 0.263263 | 0.238910
lda,Hal Daumé III,Artificial Intelligence | Computer Vision | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Natural Language Processing,0.866793,Natural Language Processing | The Web & Information Retrieval | Data Mining,0.866793 | 0.814556 | 0.759517,Natural Language Processing | The Web & Information Retrieval | Data Mining | Artificial Intelligence | Visualization,0.866793 | 0.814556 | 0.759517 | 0.751673 | 0.746964
lda,Hamid Karimi,Natural Language Processing,The Web & Information Retrieval,0.519180,The Web & Information Retrieval | Data Mining | Natural Language Processing,0.519180 | 0.499252 | 0.455783,The Web & Information Retrieval | Data Mining | Natural Language Processing | Artificial Intelligence | Visualization,0.519180 | 0.499252 | 0.455783 | 0.409959 | 0.399699
lda,Han-Jia Ye,Artificial Intelligence | Computer Vision | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Computer Vision,0.635135,Computer Vision | Data Mining | Artificial Intelligence,0.635135 | 0.634579 | 0.633407,Computer Vision | Data Mining | Artificial Intelligence | Machine Learning | Natural Language Processing,0.635135 | 0.634579 | 0.633407 | 0.613947 | 0.604424
lda,Hanan Samet,Data Mining | Human-Computer Interaction | Machine Learning,Databases,0.637158,Databases | Data Mining | The Web & Information Retrieval,0.637158 | 0.375230 | 0.358048,Databases | Data Mining | The Web & Information Retrieval | Software Engineering | Artificial Intelligence,0.637158 | 0.375230 | 0.358048 | 0.251693 | 0.215694
lda,Hande McGinty,The Web & Information Retrieval,The Web & Information Retrieval,0.591244,The Web & Information Retrieval | Natural Language Processing | Data Mining,0.591244 | 0.496607 | 0.470850,The Web & Information Retrieval | Natural Language Processing | Data Mining | Databases | Artificial Intelligence,0.591244 | 0.496607 | 0.470850 | 0.431932 | 0.362074
lda,Hanghang Tong,Artificial Intelligence | Computer Vision | Data Mining | Databases | Machine Learning | Natural Language Processing | The Web & Information Retrieval | Visualization,Data Mining,0.902627,Data Mining | The Web & Information Retrieval | Artificial Intelligence,0.902627 | 0.851612 | 0.830854,Data Mining | The Web & Information Retrieval | Artificial Intelligence | Databases | Machine Learning,0.902627 | 0.851612 | 0.830854 | 0.829002 | 0.817763
lda,Hanspeter Pfister,Artificial Intelligence | Computer Graphics | Computer Vision | Human-Computer Interaction | Machine Learning | Visualization,Computer Vision,0.817572,Computer Vision | Artificial Intelligence | Visualization,0.817572 | 0.791462 | 0.787051,Computer Vision | Artificial Intelligence | Visualization | Machine Learning | Human-Computer Interaction,0.817572 | 0.791462 | 0.787051 | 0.781830 | 0.781612
lda,Haoyu Wang 0004,Artificial Intelligence | Data Mining | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Visualization,0.420016,Visualization | Data Mining | The Web & Information Retrieval,0.420016 | 0.331839 | 0.266606,Visualization | Data Mining | The Web & Information Retrieval | Software Engineering | Databases,0.420016 | 0.331839 | 0.266606 | 0.244306 | 0.241425
lda,Hehe Fan,Artificial Intelligence | Computer Vision | Machine Learning | The Web & Information Retrieval,Computer Vision,0.639905,Computer Vision | Artificial Intelligence | Robotics,0.639905 | 0.579288 | 0.574986,Computer Vision | Artificial Intelligence | Robotics | Machine Learning | Computer Graphics,0.639905 | 0.579288 | 0.574986 | 0.573499 | 0.532023
lda,Helge Rhodin,Computer Graphics | Computer Vision | Machine Learning,Computer Graphics,0.720997,Computer Graphics | Computer Vision | Robotics,0.720997 | 0.488889 | 0.454415,Computer Graphics | Computer Vision | Robotics | Human-Computer Interaction | Visualization,0.720997 | 0.488889 | 0.454415 | 0.366095 | 0.364265
lda,Henghui Ding,Artificial Intelligence | Computer Vision | Machine Learning,Computer Graphics,0.851962,Computer Graphics | Computer Vision | Robotics,0.851962 | 0.774356 | 0.681211,Computer Graphics | Computer Vision | Robotics | Artificial Intelligence | Machine Learning,0.851962 | 0.774356 | 0.681211 | 0.603055 | 0.598523
lda,Hilde Kuehne,Computer Vision | Human-Computer Interaction | Machine Learning,Computer Vision,0.671158,Computer Vision | Artificial Intelligence | Machine Learning,0.671158 | 0.635770 | 0.612131,Computer Vision | Artificial Intelligence | Machine Learning | Natural Language Processing | Data Mining,0.671158 | 0.635770 | 0.612131 | 0.600680 | 0.565999
lda,Hoda Eldardiry,Data Mining | Natural Language Processing | The Web & Information Retrieval,Computer Vision,0.266088,Computer Vision | Computer Graphics | Robotics,0.266088 | 0.265776 | 0.226867,Computer Vision | Computer Graphics | Robotics | Artificial Intelligence | Human-Computer Interaction,0.266088 | 0.265776 | 0.226867 | 0.208492 | 0.207888
lda,Hongbo Fu 0001,Artificial Intelligence | Computer Graphics | Computer Vision | Human-Computer Interaction | Robotics,Computer Graphics,0.819646,Computer Graphics | Computer Vision | Robotics,0.819646 | 0.721188 | 0.656869,Computer Graphics | Computer Vision | Robotics | Machine Learning | Human-Computer Interaction,0.819646 | 0.721188 | 0.656869 | 0.566011 | 0.563448
lda,Hongyang Li,Artificial Intelligence | Computer Vision | Machine Learning,Robotics,0.682578,Robotics | Human-Computer Interaction | Visualization,0.682578 | 0.665134 | 0.562455,Robotics | Human-Computer Interaction | Visualization | Software Engineering | Computer Graphics,0.682578 | 0.665134 | 0.562455 | 0.537640 | 0.505337
lda,Hongyu Zhang 0002,Artificial Intelligence | Data Mining | Databases | Machine Learning | Natural Language Processing | Software Engineering | The Web & Information Retrieval,Databases,0.616077,Databases | Data Mining | The Web & Information Retrieval,0.616077 | 0.520864 | 0.519127,Databases | Data Mining | The Web & Information Retrieval | Visualization | Natural Language Processing,0.616077 | 0.520864 | 0.519127 | 0.467092 | 0.457449
lda,Hongzhi Yin,Artificial Intelligence | Computer Vision | Data Mining | Databases | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Software Engineering,0.881861,Software Engineering | Data Mining | Visualization,0.881861 | 0.806083 | 0.782443,Software Engineering | Data Mining | Visualization | The Web & Information Retrieval | Human-Computer Interaction,0.881861 | 0.806083 | 0.782443 | 0.781636 | 0.756230
lda,Hua Wei 0001,Artificial Intelligence | Computer Vision | Data Mining | Machine Learning | The Web & Information Retrieval,Visualization,0.687287,Visualization | Data Mining | The Web & Information Retrieval,0.687287 | 0.640345 | 0.625691,Visualization | Data Mining | The Web & Information Retrieval | Software Engineering | Human-Computer Interaction,0.687287 | 0.640345 | 0.625691 | 0.563989 | 0.549315
lda,Huamin Qu,Artificial Intelligence | Computer Vision | Data Mining | Human-Computer Interaction | Machine Learning | Natural Language Processing | Visualization,Human-Computer Interaction,0.830923,Human-Computer Interaction | Software Engineering | Visualization,0.830923 | 0.751108 | 0.729574,Human-Computer Interaction | Software Engineering | Visualization | The Web & Information Retrieval | Data Mining,0.830923 | 0.751108 | 0.729574 | 0.573218 | 0.537779
lda,Huan Zhang 0001,Artificial Intelligence | Computer Vision | Machine Learning | Natural Language Processing,Machine Learning,0.419078,Machine Learning | Artificial Intelligence | Computer Vision,0.419078 | 0.389310 | 0.361516,Machine Learning | Artificial Intelligence | Computer Vision | Data Mining | Natural Language Processing,0.419078 | 0.389310 | 0.361516 | 0.354546 | 0.345394
lda,Huiyuan Fu,Artificial Intelligence | Computer Vision,Robotics,0.298179,Robotics | Computer Vision | Artificial Intelligence,0.298179 | 0.283510 | 0.238788,Robotics | Computer Vision | Artificial Intelligence | Human-Computer Interaction | Computer Graphics,0.298179 | 0.283510 | 0.238788 | 0.230386 | 0.220398
lda,Hyunwoo J. Kim,Artificial Intelligence | Computer Vision | Machine Learning | Natural Language Processing,Computer Vision,0.488766,Computer Vision | Machine Learning | Artificial Intelligence,0.488766 | 0.478579 | 0.466951,Computer Vision | Machine Learning | Artificial Intelligence | Natural Language Processing | Human-Computer Interaction,0.488766 | 0.478579 | 0.466951 | 0.455947 | 0.447801
lda,Imari Sato,Artificial Intelligence | Computer Graphics | Computer Vision,Computer Graphics,0.732683,Computer Graphics | Computer Vision | Robotics,0.732683 | 0.567114 | 0.544231,Computer Graphics | Computer Vision | Robotics | Visualization | Human-Computer Interaction,0.732683 | 0.567114 | 0.544231 | 0.523838 | 0.495208
lda,Ioannis M. Rekleitis,Robotics,Robotics,0.637979,Robotics | Human-Computer Interaction | Machine Learning,0.637979 | 0.423552 | 0.376819,Robotics | Human-Computer Interaction | Machine Learning | Artificial Intelligence | Computer Vision,0.637979 | 0.423552 | 0.376819 | 0.368145 | 0.359246
lda,Ion Stoica,Artificial Intelligence | Computer Vision | Databases | Machine Learning | Natural Language Processing | Robotics,Natural Language Processing,0.759172,Natural Language Processing | Software Engineering | The Web & Information Retrieval,0.759172 | 0.757305 | 0.728936,Natural Language Processing | Software Engineering | The Web & Information Retrieval | Databases | Data Mining,0.759172 | 0.757305 | 0.728936 | 0.706988 | 0.697506
lda,Irwin King,Artificial Intelligence | Computer Vision | Data Mining | Machine Learning | Natural Language Processing | Software Engineering | The Web & Information Retrieval,Data Mining,0.733707,Data Mining | Visualization | The Web & Information Retrieval,0.733707 | 0.727379 | 0.684733,Data Mining | Visualization | The Web & Information Retrieval | Natural Language Processing | Software Engineering,0.733707 | 0.727379 | 0.684733 | 0.643570 | 0.641406
lda,Iryna Gurevych,Artificial Intelligence | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Natural Language Processing,0.806131,Natural Language Processing | Software Engineering | The Web & Information Retrieval,0.806131 | 0.765730 | 0.724903,Natural Language Processing | Software Engineering | The Web & Information Retrieval | Visualization | Data Mining,0.806131 | 0.765730 | 0.724903 | 0.673516 | 0.670330
lda,Ivan Laptev,Computer Vision | Machine Learning | Natural Language Processing | Robotics,Robotics,0.861656,Robotics | Computer Vision | Computer Graphics,0.861656 | 0.746941 | 0.694027,Robotics | Computer Vision | Computer Graphics | Machine Learning | Artificial Intelligence,0.861656 | 0.746941 | 0.694027 | 0.669258 | 0.668086
lda,Jaakko Lehtinen,Computer Graphics | Computer Vision | Machine Learning,Computer Vision,0.383470,Computer Vision | Computer Graphics | Robotics,0.383470 | 0.355269 | 0.353342,Computer Vision | Computer Graphics | Robotics | Artificial Intelligence | Machine Learning,0.383470 | 0.355269 | 0.353342 | 0.320694 | 0.312165
lda,Jackie Chi Kit Cheung,Artificial Intelligence | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Natural Language Processing,0.873934,Natural Language Processing | The Web & Information Retrieval | Data Mining,0.873934 | 0.856697 | 0.785311,Natural Language Processing | The Web & Information Retrieval | Data Mining | Visualization | Software Engineering,0.873934 | 0.856697 | 0.785311 | 0.730833 | 0.728506
lda,Jacob R. Gardner,Artificial Intelligence | Computer Vision | Databases | Machine Learning,Natural Language Processing,0.542070,Natural Language Processing | Machine Learning | Artificial Intelligence,0.542070 | 0.536980 | 0.509499,Natural Language Processing | Machine Learning | Artificial Intelligence | Robotics | Software Engineering,0.542070 | 0.536980 | 0.509499 | 0.503386 | 0.476441
lda,Jae-sun Seo,Artificial Intelligence | Computer Vision | Machine Learning,Computer Vision,0.486188,Computer Vision | Artificial Intelligence | Machine Learning,0.486188 | 0.466059 | 0.457366,Computer Vision | Artificial Intelligence | Machine Learning | Data Mining | Natural Language Processing,0.486188 | 0.466059 | 0.457366 | 0.443029 | 0.427972
lda,Jaemin Cho 0001,Artificial Intelligence | Computer Vision | Machine Learning | Natural Language Processing,Natural Language Processing,0.651428,Natural Language Processing | Computer Vision | Artificial Intelligence,0.651428 | 0.591979 | 0.586467,Natural Language Processing | Computer Vision | Artificial Intelligence | Software Engineering | Machine Learning,0.651428 | 0.591979 | 0.586467 | 0.566264 | 0.560707
lda,Jaesik Park,Artificial Intelligence | Computer Graphics | Computer Vision | Machine Learning | Natural Language Processing | Robotics,Computer Graphics,0.928893,Computer Graphics | Computer Vision | Robotics,0.928893 | 0.735774 | 0.666034,Computer Graphics | Computer Vision | Robotics | Machine Learning | Artificial Intelligence,0.928893 | 0.735774 | 0.666034 | 0.593399 | 0.564726
lda,Jaeyeon Lee 0002,Human-Computer Interaction,Human-Computer Interaction,0.465967,Human-Computer Interaction | Visualization | Artificial Intelligence,0.465967 | 0.314981 | 0.206653,Human-Computer Interaction | Visualization | Artificial Intelligence | Robotics | Machine Learning,0.465967 | 0.314981 | 0.206653 | 0.206490 | 0.200571
lda,James A. Landay,Human-Computer Interaction | Natural Language Processing,Human-Computer Interaction,0.644609,Human-Computer Interaction | Software Engineering | Visualization,0.644609 | 0.513280 | 0.504383,Human-Computer Interaction | Software Engineering | Visualization | The Web & Information Retrieval | Natural Language Processing,0.644609 | 0.513280 | 0.504383 | 0.356309 | 0.342422
lda,James A. Preiss,Machine Learning | Robotics,Machine Learning,0.308347,Machine Learning | Artificial Intelligence | Data Mining,0.308347 | 0.264320 | 0.196657,Machine Learning | Artificial Intelligence | Data Mining | The Web & Information Retrieval | Databases,0.308347 | 0.264320 | 0.196657 | 0.181624 | 0.159901
lda,James T. Kwok,Artificial Intelligence | Computer Vision | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Natural Language Processing,0.827095,Natural Language Processing | The Web & Information Retrieval | Data Mining,0.827095 | 0.751886 | 0.740694,Natural Language Processing | The Web & Information Retrieval | Data Mining | Artificial Intelligence | Software Engineering,0.827095 | 0.751886 | 0.740694 | 0.727042 | 0.711172
lda,James Wang,Computer Vision | Natural Language Processing,Machine Learning,0.295377,Machine Learning | Artificial Intelligence | Computer Vision,0.295377 | 0.286803 | 0.268382,Machine Learning | Artificial Intelligence | Computer Vision | Natural Language Processing | Data Mining,0.295377 | 0.286803 | 0.268382 | 0.267884 | 0.265067
lda,Jan O. Borchers,Human-Computer Interaction,Human-Computer Interaction,0.542012,Human-Computer Interaction | Visualization | Robotics,0.542012 | 0.362096 | 0.284915,Human-Computer Interaction | Visualization | Robotics | Databases | Software Engineering,0.542012 | 0.362096 | 0.284915 | 0.246918 | 0.224554
lda,Jason J. Ford,Robotics,Robotics,0.705828,Robotics | Computer Vision | Computer Graphics,0.705828 | 0.550204 | 0.521731,Robotics | Computer Vision | Computer Graphics | Machine Learning | Artificial Intelligence,0.705828 | 0.550204 | 0.521731 | 0.485381 | 0.473142
lda,Jasper C. H. Lee,Artificial Intelligence | Machine Learning,Machine Learning,0.411098,Machine Learning | Artificial Intelligence | Data Mining,0.411098 | 0.360006 | 0.286697,Machine Learning | Artificial Intelligence | Data Mining | Databases | The Web & Information Retrieval,0.411098 | 0.360006 | 0.286697 | 0.258349 | 0.252626
lda,Jay-Yoon Lee,Artificial Intelligence | Machine Learning | Natural Language Processing,Natural Language Processing,0.770060,Natural Language Processing | The Web & Information Retrieval | Artificial Intelligence,0.770060 | 0.711997 | 0.690419,Natural Language Processing | The Web & Information Retrieval | Artificial Intelligence | Machine Learning | Data Mining,0.770060 | 0.711997 | 0.690419 | 0.683257 | 0.671894
lda,Jean Ponce,Computer Graphics | Computer Vision | Machine Learning | Robotics,Computer Graphics,0.773064,Computer Graphics | Computer Vision | Robotics,0.773064 | 0.586275 | 0.585194,Computer Graphics | Computer Vision | Robotics | Machine Learning | Artificial Intelligence,0.773064 | 0.586275 | 0.585194 | 0.499098 | 0.467502
lda,Jian Kang 0008,Data Mining | Machine Learning | The Web & Information Retrieval | Visualization,Databases,0.658533,Databases | Data Mining | The Web & Information Retrieval,0.658533 | 0.608325 | 0.556129,Databases | Data Mining | The Web & Information Retrieval | Visualization | Software Engineering,0.658533 | 0.608325 | 0.556129 | 0.518839 | 0.466988
lda,Jian Yang 0001,Artificial Intelligence | Computer Vision | Data Mining | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Computer Vision,0.551490,Computer Vision | Human-Computer Interaction | Artificial Intelligence,0.551490 | 0.523015 | 0.511083,Computer Vision | Human-Computer Interaction | Artificial Intelligence | Machine Learning | Robotics,0.551490 | 0.523015 | 0.511083 | 0.505099 | 0.489766
lda,Jiannan Wang 0001,Data Mining | Databases,Databases,0.683405,Databases | Software Engineering | Data Mining,0.683405 | 0.508193 | 0.497242,Databases | Software Engineering | Data Mining | The Web & Information Retrieval | Visualization,0.683405 | 0.508193 | 0.497242 | 0.494623 | 0.382723
lda,Jianwei Huang 0001,Artificial Intelligence,Databases,0.650966,Databases | Software Engineering | Data Mining,0.650966 | 0.472955 | 0.462859,Databases | Software Engineering | Data Mining | The Web & Information Retrieval | Visualization,0.650966 | 0.472955 | 0.462859 | 0.444596 | 0.404307
